semantic_loop_id,primitive_loop_id,canonical_primitive_core,closed_path,transition_length,allowed_orientations,reverse_path_id,motif_type,development_count,stock_breadth,session_breadth,month_breadth,quarter_breadth,clock_breadth,top_stock_share,top_month_share,complete_semantic_identity,source_gap_free,primary_length_eligible,sensitivity_length_eligible,selection_period,support_pass,run_id,git_sha,contract_hash,data_snapshot_hash,dictionary_version,dictionary_hash,state_model_version,research_only,execution_enabled,order_placement,broker_connected,economic_outcomes_used,payoff_selection_used,production_runtime_modified,strategy_promotion,decision_id,symbol,session,decision_timestamp,event_timestamp,source_artifact,source_hash
loop_p_0-1-0,loop_p_0-1-0,"[0, 1]","[0, 1, 0]",2,"[[0, 1, 0], [1, 0, 1]]",loop_p_0-1-0,primitive,20139,22,1416,12,4,3,0.273797110085,0.108644917821,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-0,loop_p_0-1-2-0,"[0, 1, 2]","[0, 1, 2, 0]",3,"[[0, 1, 2, 0], [1, 2, 0, 1], [2, 0, 1, 2]]",loop_p_0-2-1-0,primitive,4154,22,541,12,4,3,0.180308136736,0.116273471353,True,True,True,False,development,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-3-0,loop_p_0-1-2-3-0,"[0, 1, 2, 3]","[0, 1, 2, 3, 0]",4,"[[0, 1, 2, 3, 0], [1, 2, 3, 0, 1], [2, 3, 0, 1, 2], [3, 0, 1, 2, 3]]",loop_p_0-3-2-1-0,primitive,1119,22,167,12,4,3,0.166219839142,0.130473637176,True,True,True,False,development,True,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-3-4-0,loop_p_0-1-2-3-4-0,"[0, 1, 2, 3, 4]","[0, 1, 2, 3, 4, 0]",5,"[[0, 1, 2, 3, 4, 0], [1, 2, 3, 4, 0, 1], [2, 3, 4, 0, 1, 2], [3, 4, 0, 1, 2, 3], [4, 0, 1, 2, 3, 4]]",loop_p_0-4-3-2-1-0,primitive,33,4,5,5,3,1,0.515151515152,0.333333333333,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-3-6-0,loop_p_0-1-2-3-6-0,"[0, 1, 2, 3, 6]","[0, 1, 2, 3, 6, 0]",5,"[[0, 1, 2, 3, 6, 0], [1, 2, 3, 6, 0, 1], [2, 3, 6, 0, 1, 2], [3, 6, 0, 1, 2, 3], [6, 0, 1, 2, 3, 6]]",loop_p_0-6-3-2-1-0,primitive,1,1,1,1,1,1,1,1,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-3-6-4-0,loop_p_0-1-2-3-6-4-0,"[0, 1, 2, 3, 6, 4]","[0, 1, 2, 3, 6, 4, 0]",6,"[[0, 1, 2, 3, 6, 4, 0], [1, 2, 3, 6, 4, 0, 1], [2, 3, 6, 4, 0, 1, 2], [3, 6, 4, 0, 1, 2, 3], [4, 0, 1, 2, 3, 6, 4], [6, 4, 0, 1, 2, 3, 6]]",loop_p_0-4-6-3-2-1-0,primitive,1,1,1,1,1,1,1,1,True,True,False,True,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-3-6-4-5-0,loop_p_0-1-2-3-6-4-5-0,"[0, 1, 2, 3, 6, 4, 5]","[0, 1, 2, 3, 6, 4, 5, 0]",7,"[[0, 1, 2, 3, 6, 4, 5, 0], [1, 2, 3, 6, 4, 5, 0, 1], [2, 3, 6, 4, 5, 0, 1, 2], [3, 6, 4, 5, 0, 1, 2, 3], [4, 5, 0, 1, 2, 3, 6, 4], [5, 0, 1, 2, 3, 6, 4, 5], [6, 4, 5, 0, 1, 2, 3, 6]]",loop_p_0-5-4-6-3-2-1-0,primitive,6,1,1,1,1,1,1,1,True,True,False,True,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-3-6-5-0,loop_p_0-1-2-3-6-5-0,"[0, 1, 2, 3, 6, 5]","[0, 1, 2, 3, 6, 5, 0]",6,"[[0, 1, 2, 3, 6, 5, 0], [1, 2, 3, 6, 5, 0, 1], [2, 3, 6, 5, 0, 1, 2], [3, 6, 5, 0, 1, 2, 3], [5, 0, 1, 2, 3, 6, 5], [6, 5, 0, 1, 2, 3, 6]]",loop_p_0-5-6-3-2-1-0,primitive,9,1,1,1,1,1,1,1,True,True,False,True,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-4-0,loop_p_0-1-2-4-0,"[0, 1, 2, 4]","[0, 1, 2, 4, 0]",4,"[[0, 1, 2, 4, 0], [1, 2, 4, 0, 1], [2, 4, 0, 1, 2], [4, 0, 1, 2, 4]]",loop_p_0-4-2-1-0,primitive,129,12,28,11,4,2,0.186046511628,0.186046511628,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
loop_p_0-1-2-4-3-0,loop_p_0-1-2-4-3-0,"[0, 1, 2, 4, 3]","[0, 1, 2, 4, 3, 0]",5,"[[0, 1, 2, 4, 3, 0], [1, 2, 4, 3, 0, 1], [2, 4, 3, 0, 1, 2], [3, 0, 1, 2, 4, 3], [4, 3, 0, 1, 2, 4]]",loop_p_0-3-4-2-1-0,primitive,181,16,33,12,4,2,0.17679558011,0.21546961326,True,True,True,False,development,False,fc05b0eb9dede535bf255bd8,ee04e735b09f237a4a415c75cbf5c4569a921ed6,dfb2abfbd0d5b5431e372074ac76155f3b014339202325da0f365007267a4de8,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_first_event_v2,9f39bf57c2637dfa7f465103306ac6c7d17a321a036b175cc222dc1a204cd918,causal_semimarkov_posterior_export_v2_tail78,True,False,disabled,False,False,False,False,False,not_applicable,not_applicable,not_applicable,,,candidate_loop_universe.parquet,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661
