file,function_or_class,line,purpose,active_versus_frozen_status,input_population,forecast_anchor,loop_definition,orientation_handling,target_semantics,timing_semantics,feature_availability_convention,known_consumers,affected_b0_provenance,affected_overlapping_target,affected_primitive_repeat_mix,affected_rank_id,affected_length_mismatch,affected_duration_tail,affected_hard_state_only,affected_run_entry_only,affected_static_future_context,affected_weak_null,affected_raw_frequency,run_id_v2,git_sha,contract_hash,data_snapshot_hash,source_artifact_hash,dictionary_version,dictionary_hash,state_model_version,symbol,session,timestamp,semantic_loop_id,legacy_cycle_id,research_only,execution_enabled,order_placement,broker_connected,strategy_promotion
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,HysteresisConfig,34,Frozen causal switch rule; it uses no future posterior row.,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,__post_init__,40,causal state export v2,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,CausalStateExport,48,All causal posterior surfaces aligned one-to-one with input bars.,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,validate,66,causal state export v2,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,SoftPrefixSnapshot,86,Diagnostic probability mass; it is never a hard structural completion.,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,expand_duration_hazard_v2,96,Replace a forced terminal hazard with an explicit regular-session tail.,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,propagate_state_age_posterior,133,Advance one bar while conserving state-by-age probability mass.,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,causal_semimarkov_filter_v2,157,Run the frozen forward recursion and retain every posterior coordinate.,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,hysteretic_states,276,Create a causal stabilized state using only current and prior rows.,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,SoftLoopPrefixTracker,301,Propagate approximate prefix mass from posterior marginals only.,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,__init__,304,causal state export v2,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,reset_session,322,causal state export v2,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
packages/stocker_research/src/stocker_research/causal_state_export_v2.py,update,326,causal state export v2,active_v2,hard state-run/event sequence,every completed bar,semantic primitive/repeat/composite closed path,explicit orientation metadata,structural loop/cycle lineage; no target in this component,explicit bar completion availability,explicit source and availability timestamps,"['packages/stocker_research/src/stocker_research/loop_ledger_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/run_loop_event_semantics_v2.py', 'research/slrno-v2/20260714-regime-loop-handoff/work/tests/test_loop_event_semantics_v2.py']",False,False,False,False,False,False,False,True,False,False,False,864601cf54c8c758fee528e6,59e535ede1aaf77a6482002718cb2b77dfb691c0,e193fb8979c231eebd1876b8e6390d837006a454fcc911a94cdc196ab015ecd6,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,48d2141ef993928d4e8a01d6b3c24dff665280c67f4167115b453613460cc661,semantic_loop_dictionary_v2,497142c8d0ab880e59385da123d9eb2189469e9e3a4a631e0f63eb6fc77030d3,causal_semimarkov_posterior_export_v2_tail78,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,True,False,disabled,False,False
